id,title,total_books,total_votes
10507293,Best Books Ever,122608,256088
34268,Best Books Ever,122608,256088
37435,Best Books Ever,122608,256088
4948,Best Books Ever,122608,256088
6339664,Best Books Ever,122608,256088
70401,Best Books Ever,122608,256088
7763,Best Books Ever,122608,256088
37415,Best Books Ever,122608,256088
4556058,Best Books Ever,122608,256088
6148028,Best Books Ever,122608,256088
100915,Best Books Ever,122608,256088
38709,Best Books Ever,122608,256088
1622,Best Books Ever,122608,256088
1,Best Books Ever,122608,256088
10365,Best Books Ever,122608,256088
32261,Best Books Ever,122608,256088
117833,Best Books Ever,122608,256088
32620332,Best Books Ever,122608,256088
40874325,Best Books Ever,122608,256088
7069,Best Books Ever,122608,256088
7736182,Best Books Ever,122608,256088
310612,Best Books Ever,122608,256088
1375,Best Books Ever,122608,256088
561909,Best Books Ever,122608,256088
144974,Best Books Ever,122608,256088
36381037,Best Books Ever,122608,256088
24770,Best Books Ever,122608,256088
6442769,Best Books Ever,122608,256088
7235533,Best Books Ever,122608,256088
7260188,Best Books Ever,122608,256088
62291,Best Books Ever,122608,256088
4588,Best Books Ever,122608,256088
24812,Best Books Ever,122608,256088
375013,Best Books Ever,122608,256088
2696,Best Books Ever,122608,256088
514811,Best Books Ever,122608,256088
350,Best Books Ever,122608,256088
6527740,Best Books Ever,122608,256088
7745,Best Books Ever,122608,256088
11566,Best Books Ever,122608,256088
2184798,Best Books Ever,122608,256088
40611463,Best Books Ever,122608,256088
7332,Best Books Ever,122608,256088
39280444,Best Books Ever,122608,256088
2865,Best Books Ever,122608,256088
17690,Best Books Ever,122608,256088
12505,Best Books Ever,122608,256088
22299763,Best Books Ever,122608,256088
37442,Best Books Ever,122608,256088
5060378,Best Books Ever,122608,256088
58696,Best Books Ever,122608,256088
3876,Best Books Ever,122608,256088
60288648,Best Books Ever,122608,256088
40604658,Best Books Ever,122608,256088
30183,Best Books Ever,122608,256088
133518,Best Books Ever,122608,256088
10025305,Best Books Ever,122608,256088
17250,Best Books Ever,122608,256088
12691,Best Books Ever,122608,256088
37470,Best Books Ever,122608,256088
40495148,Best Books Ever,122608,256088
546018,Best Books Ever,122608,256088
19288043,Best Books Ever,122608,256088
33,Best Books Ever,122608,256088
5659,Best Books Ever,122608,256088
10799,Best Books Ever,122608,256088
14497,Best Books Ever,122608,256088
188572,Best Books Ever,122608,256088
338798,Best Books Ever,122608,256088
41044096,Best Books Ever,122608,256088
12996,Best Books Ever,122608,256088
11505797,Best Books Ever,122608,256088
11275,Best Books Ever,122608,256088
12938,Best Books Ever,122608,256088
18116,Best Books Ever,122608,256088
6487308,Best Books Ever,122608,256088
46170,Best Books Ever,122608,256088
8130077,Best Books Ever,122608,256088
11614718,Best Books Ever,122608,256088
28194,Best Books Ever,122608,256088
48855,Best Books Ever,122608,256088
6479259,Best Books Ever,122608,256088
71728,Best Books Ever,122608,256088
480204,Best Books Ever,122608,256088
3008,Best Books Ever,122608,256088
4502877,Best Books Ever,122608,256088
5203,Best Books Ever,122608,256088
10572,Best Books Ever,122608,256088
30118,Best Books Ever,122608,256088
6149,Best Books Ever,122608,256088
18254,Best Books Ever,122608,256088
9328,Best Books Ever,122608,256088
6294,Best Books Ever,122608,256088
29844228,Best Books Ever,122608,256088
43814,Best Books Ever,122608,256088
27712,Best Books Ever,122608,256088
6752378,Best Books Ever,122608,256088
11297,Best Books Ever,122608,256088
52382796,Best Books Ever,122608,256088
10975,Best Books Ever,122608,256088
6892870,Best Books Ever,122608,256088
10614,Best Books Ever,122608,256088
135479,Best Books Ever,122608,256088
6068551,Best Books Ever,122608,256088
4069,Best Books Ever,122608,256088
39999,Best Books Ever,122608,256088
46787,Best Books Ever,122608,256088
16981,Best Books Ever,122608,256088
1845,Best Books Ever,122608,256088
9777,Best Books Ever,122608,256088
32234,Best Books Ever,122608,256088
39832183,Best Books Ever,122608,256088
295,Best Books Ever,122608,256088
10818853,Best Books Ever,122608,256088
24337,Best Books Ever,122608,256088
4929,Best Books Ever,122608,256088
39662,Best Books Ever,122608,256088
2493,Best Books Ever,122608,256088
43615,Best Books Ever,122608,256088
51496,Best Books Ever,122608,256088
122,Best Books Ever,122608,256088
3236307,Best Books Ever,122608,256088
18143977,Best Books Ever,122608,256088
3685,Best Books Ever,122608,256088
11387515,Best Books Ever,122608,256088
40440,Best Books Ever,122608,256088
7588,Best Books Ever,122608,256088
8755776,Best Books Ever,122608,256088
7733,Best Books Ever,122608,256088
5805,Best Books Ever,122608,256088
10959,Best Books Ever,122608,256088
15195,Best Books Ever,122608,256088
16793,Best Books Ever,122608,256088
84981,Best Books Ever,122608,256088
18710190,Best Books Ever,122608,256088
